Category,Semester,Program,Deadline,Amount
Hostel Rent,Spring,All Variation 9,January 10,1500
Graduation Fee,Final,All Variation 9,May 1,300
Tuition Fee,Fall,Engineering Variation 10,July 31,5000
Tuition Fee,Fall,Arts Variation 10,July 31,4000
Tuition Fee,Spring,Engineering Variation 10,December 31,5000
Library Fee,Annual,All Variation 10,July 31,200
Laboratory Fee,Fall,Engineering Variation 10,July 31,400
Hostel Rent,Fall,All Variation 10,August 10,1500
Hostel Rent,Spring,All Variation 10,January 10,1500
Graduation Fee,Final,All Variation 10,May 1,300
Tuition Fee,Fall,Engineering Variation 11,July 31,5000
Tuition Fee,Fall,Arts Variation 11,July 31,4000
Tuition Fee,Spring,Engineering Variation 11,December 31,5000
Library Fee,Annual,All Variation 11,July 31,200
Laboratory Fee,Fall,Engineering Variation 11,July 31,400
Hostel Rent,Fall,All Variation 11,August 10,1500
Hostel Rent,Spring,All Variation 11,January 10,1500
Graduation Fee,Final,All Variation 11,May 1,300
Tuition Fee,Fall,Engineering Variation 12,July 31,5000
Tuition Fee,Fall,Arts Variation 12,July 31,4000
Tuition Fee,Spring,Engineering Variation 12,December 31,5000
Library Fee,Annual,All Variation 12,July 31,200
Laboratory Fee,Fall,Engineering Variation 12,July 31,400
Hostel Rent,Fall,All Variation 12,August 10,1500
Hostel Rent,Spring,All Variation 12,January 10,1500
Graduation Fee,Final,All Variation 12,May 1,300
Tuition Fee,Fall,Engineering Variation 13,July 31,5000
Tuition Fee,Fall,Arts Variation 13,July 31,4000
Tuition Fee,Spring,Engineering Variation 13,December 31,5000
Library Fee,Annual,All Variation 13,July 31,200
Laboratory Fee,Fall,Engineering Variation 13,July 31,400
Hostel Rent,Fall,All Variation 13,August 10,1500
Hostel Rent,Spring,All Variation 13,January 10,1500
Graduation Fee,Final,All Variation 13,May 1,300
Tuition Fee,Fall,Engineering Variation 14,July 31,5000
Tuition Fee,Fall,Arts Variation 14,July 31,4000
Tuition Fee,Spring,Engineering Variation 14,December 31,5000
Library Fee,Annual,All Variation 14,July 31,200
Laboratory Fee,Fall,Engineering Variation 14,July 31,400
Hostel Rent,Fall,All Variation 14,August 10,1500
Hostel Rent,Spring,All Variation 14,January 10,1500
Graduation Fee,Final,All Variation 14,May 1,300
Tuition Fee,Fall,Engineering Variation 15,July 31,5000
Tuition Fee,Fall,Arts Variation 15,July 31,4000
Tuition Fee,Spring,Engineering Variation 15,December 31,5000
Library Fee,Annual,All Variation 15,July 31,200
Laboratory Fee,Fall,Engineering Variation 15,July 31,400
Hostel Rent,Fall,All Variation 15,August 10,1500
Hostel Rent,Spring,All Variation 15,January 10,1500
Graduation Fee,Final,All Variation 15,May 1,300
Tuition Fee,Fall,Engineering Variation 16,July 31,5000
Tuition Fee,Fall,Arts Variation 16,July 31,4000
Tuition Fee,Spring,Engineering Variation 16,December 31,5000
Library Fee,Annual,All Variation 16,July 31,200
Laboratory Fee,Fall,Engineering Variation 16,July 31,400
Hostel Rent,Fall,All Variation 16,August 10,1500
Hostel Rent,Spring,All Variation 16,January 10,1500
Graduation Fee,Final,All Variation 16,May 1,300
Tuition Fee,Fall,Engineering Variation 17,July 31,5000
Tuition Fee,Fall,Arts Variation 17,July 31,4000
Tuition Fee,Spring,Engineering Variation 17,December 31,5000
Library Fee,Annual,All Variation 17,July 31,200
Laboratory Fee,Fall,Engineering Variation 17,July 31,400
Hostel Rent,Fall,All Variation 17,August 10,1500
Hostel Rent,Spring,All Variation 17,January 10,1500
Graduation Fee,Final,All Variation 17,May 1,300
Tuition Fee,Fall,Engineering Variation 18,July 31,5000
Tuition Fee,Fall,Arts Variation 18,July 31,4000
Tuition Fee,Spring,Engineering Variation 18,December 31,5000
Library Fee,Annual,All Variation 18,July 31,200
Laboratory Fee,Fall,Engineering Variation 18,July 31,400
Hostel Rent,Fall,All Variation 18,August 10,1500
Hostel Rent,Spring,All Variation 18,January 10,1500
Graduation Fee,Final,All Variation 18,May 1,300
Tuition Fee,Fall,Engineering Variation 19,July 31,5000
Tuition Fee,Fall,Arts Variation 19,July 31,4000
Tuition Fee,Spring,Engineering Variation 19,December 31,5000
Library Fee,Annual,All Variation 19,July 31,200
Laboratory Fee,Fall,Engineering Variation 19,July 31,400
Hostel Rent,Fall,All Variation 19,August 10,1500
Hostel Rent,Spring,All Variation 19,January 10,1500
Graduation Fee,Final,All Variation 19,May 1,300
